iter	Passed	Remaining
741	1348	469
742	1351	467
743	1353	465
744	1355	463
745	1356	461
746	1358	459
747	1359	458
748	1361	456
749	1363	454
750	1365	452
751	1367	450
752	1368	448
753	1369	446
754	1370	444
755	1372	442
756	1373	440
757	1374	438
758	1379	437
759	1381	436
760	1382	434
761	1384	432
762	1385	430
763	1387	428
764	1388	426
765	1389	424
766	1392	422
767	1394	421
768	1395	419
769	1397	417
770	1398	415
771	1399	413
772	1401	411
773	1402	409
774	1403	407
775	1405	405
776	1407	403
777	1409	402
778	1411	400
779	1413	398
780	1414	396
781	1416	394
782	1417	392
783	1419	391
784	1421	389
785	1423	387
786	1425	385
787	1426	383
788	1427	381
789	1429	379
790	1430	377
791	1431	375
792	1434	374
793	1437	372
794	1438	370
795	1439	368
796	1441	367
797	1442	365
798	1443	363
799	1445	361
800	1446	359
801	1448	357
802	1450	355
803	1451	353
804	1453	352
805	1455	350
806	1456	348
807	1457	346
808	1459	344
809	1460	342
810	1461	340
811	1466	339
812	1468	337
813	1470	336
814	1472	334
815	1473	332
816	1475	330
817	1476	328
818	1478	326
819	1482	325
820	1484	323
821	1486	321
822	1487	319
823	1488	318
824	1490	316
825	1496	315
826	1498	313
827	1499	311
828	1501	309
829	1502	307
830	1503	305
831	1505	303
832	1506	302
833	1508	300
834	1510	298
835	1512	296
836	1513	294
837	1515	292
838	1516	291
839	1518	289
840	1519	287
841	1520	285
842	1523	283
843	1525	281
844	1527	280
845	1528	278
846	1530	276
847	1531	274
848	1533	272
849	1534	270
850	1537	269
851	1539	267
852	1540	265
853	1541	263
854	1543	261
855	1544	259
856	1545	257
857	1547	256
858	1548	254
859	1549	252
860	1551	250
861	1553	248
862	1555	246
863	1556	245
864	1557	243
865	1559	241
866	1560	239
867	1562	237
868	1563	235
869	1564	233
870	1567	232
871	1569	230
872	1570	228
873	1572	226
874	1573	224
875	1575	222
876	1576	221
877	1577	219
878	1582	217
879	1585	216
880	1587	214
881	1588	212
882	1590	210
883	1591	208
884	1592	206
885	1594	205
886	1596	203
887	1598	201
888	1600	199
889	1601	197
890	1602	196
891	1604	194
892	1605	192
893	1607	190
894	1608	188
895	1611	187
896	1613	185
897	1614	183
898	1616	181
899	1617	179
900	1618	177
901	1620	176
902	1621	174
903	1622	172
904	1624	170
905	1626	168
906	1627	166
907	1629	165
908	1630	163
909	1632	161
910	1633	159
911	1635	157
912	1637	156
913	1639	154
914	1640	152
915	1642	150
916	1643	148
917	1645	146
918	1647	145
919	1649	143
920	1650	141
921	1652	139
922	1653	137
923	1654	136
924	1656	134
925	1657	132
926	1658	130
927	1660	128
928	1662	127
929	1664	125
930	1665	123
931	1667	121
932	1669	119
933	1670	118
934	1671	116
935	1672	114
936	1675	112
937	1677	110
938	1678	109
939	1679	107
940	1681	105
941	1682	103
942	1684	101
943	1685	99
944	1686	98
945	1687	96
946	1691	94
947	1693	92
948	1695	91
949	1697	89
950	1699	87
951	1700	85
952	1702	83
953	1704	82
954	1706	80
955	1708	78
956	1710	76
957	1711	75
958	1713	73
959	1715	71
960	1716	69
961	1720	67
962	1722	66
963	1723	64
964	1725	62
965	1727	60
966	1729	59
967	1730	57
968	1732	55
969	1734	53
970	1736	51
971	1738	50
972	1740	48
973	1741	46
974	1743	44
975	1745	42
976	1749	41
977	1752	39
978	1754	37
979	1756	35
980	1757	34
981	1759	32
982	1760	30
983	1762	28
984	1765	26
985	1767	25
986	1768	23
987	1770	21
988	1771	19
989	1773	17
990	1774	16
991	1776	14
992	1779	12
993	1781	10
994	1783	8
995	1784	7
996	1786	5
997	1787	3
998	1788	1
999	1790	0
